Date,Open,High,Low,Close,Volume
11-Jan-17,1488000,1540000,1480000,1537000,49337
10-Jan-17,1469000,1477000,1465000,1477000,25706
09-Jan-17,1446000,1472000,1442000,1472000,33599
06-Jan-17,1430000,1438000,1423000,1431000,24735
05-Jan-17,1430000,1433000,1411000,1414000,26591
04-Jan-17,1451000,1452000,1425000,1440000,26486
03-Jan-17,1440000,1448000,1422000,1439000,23901
02-Jan-17,1432000,1448000,1415000,1440000,10818
29-Dec-16,1408000,1435000,1406000,1433000,19980
28-Dec-16,1418000,1430000,1411000,1424000,14181
27-Dec-16,1412000,1431000,1408000,1428000,11951
26-Dec-16,1398000,1413000,1392000,1409000,8250
23-Dec-16,1403000,1425000,1393000,1396000,31020
22-Dec-16,1432000,1435000,1412000,1418000,25678
21-Dec-16,1452000,1456000,1432000,1432000,23322
20-Dec-16,1430000,1450000,1428000,1438000,17881
19-Dec-16,1412000,1445000,1412000,1430000,25672
16-Dec-16,1387000,1426000,1385000,1420000,49522
15-Dec-16,1381000,1382000,1372000,1372000,25104
14-Dec-16,1362000,1380000,1362000,1377000,28055
13-Dec-16,1354000,1367000,1349000,1361000,51940
12-Dec-16,1387000,1399000,1352000,1355000,34778
09-Dec-16,1398000,1401000,1389000,1401000,34015
08-Dec-16,1421000,1435000,1384000,1398000,53845
07-Dec-16,1420000,1434000,1418000,1419000,35592
06-Dec-16,1374000,1417000,1374000,1414000,39784
05-Dec-16,1370000,1387000,1357000,1382000,41048
02-Dec-16,1370000,1370000,1348000,1361000,29052
01-Dec-16,1356000,1383000,1342000,1361000,39212
30-Nov-16,1284000,1366000,1283000,1356000,97303
29-Nov-16,1320000,1324000,1292000,1292000,40620
28-Nov-16,1297000,1319000,1290000,1308000,27882
25-Nov-16,1306000,1306000,1278000,1290000,23722
24-Nov-16,1295000,1308000,1287000,1306000,15769
23-Nov-16,1300000,1312000,1284000,1301000,22374
22-Nov-16,1248000,1289000,1248000,1278000,20728
21-Nov-16,1241000,1257000,1234000,1243000,17055
18-Nov-16,1250000,1262000,1242000,1247000,20989
17-Nov-16,1229000,1249000,1215000,1236000,16414
16-Nov-16,1215000,1226000,1206000,1226000,24296
15-Nov-16,1220000,1243000,1209000,1209000,25614
14-Nov-16,1257000,1259000,1216000,1216000,29861
11-Nov-16,1243000,1274000,1243000,1251000,40284
10-Nov-16,1282000,1301000,1277000,1294000,27324
09-Nov-16,1300000,1311000,1257000,1260000,24302
08-Nov-16,1297000,1302000,1290000,1294000,18700
07-Nov-16,1292000,1311000,1292000,1295000,18867
04-Nov-16,1286000,1304000,1285000,1291000,21689
03-Nov-16,1297000,1315000,1284000,1285000,25727
02-Nov-16,1325000,1342000,1311000,1311000,17227
01-Nov-16,1311000,1340000,1311000,1327000,19253
31-Oct-16,1301000,1319000,1301000,1317000,21972
28-Oct-16,1296000,1314000,1295000,1308000,16097
27-Oct-16,1305000,1317000,1270000,1295000,16041
26-Oct-16,1327000,1327000,1287000,1296000,15552
25-Oct-16,1318000,1318000,1295000,1312000,13299
24-Oct-16,1302000,1325000,1302000,1320000,19108
21-Oct-16,1311000,1311000,1294000,1302000,11807
20-Oct-16,1305000,1327000,1305000,1311000,15385
19-Oct-16,1270000,1320000,1270000,1304000,26293
18-Oct-16,1264000,1282000,1260000,1281000,11249
17-Oct-16,1256000,1282000,1234000,1273000,10296
14-Oct-16,1262000,1274000,1260000,1263000,22480
13-Oct-16,1278000,1292000,1256000,1262000,19987
12-Oct-16,1209000,1268000,1208000,1261000,36725
11-Oct-16,1277000,1298000,1251000,1251000,52140
10-Oct-16,1323000,1359000,1305000,1338000,41454
07-Oct-16,1370000,1390000,1360000,1368000,34618
06-Oct-16,1399000,1399000,1357000,1379000,38418
05-Oct-16,1300000,1330000,1295000,1327000,17255
04-Oct-16,1309000,1312000,1287000,1312000,19738
30-Sep-16,1268000,1294000,1268000,1290000,36409
29-Sep-16,1258000,1296000,1258000,1292000,28851
28-Sep-16,1269000,1269000,1252000,1255000,16364
27-Sep-16,1263000,1268000,1241000,1266000,23177
26-Sep-16,1282000,1299000,1261000,1267000,52257
23-Sep-16,1328000,1328000,1282000,1282000,57720
22-Sep-16,1323000,1367000,1323000,1355000,45392
21-Sep-16,1332000,1339000,1291000,1323000,34570
20-Sep-16,1295000,1326000,1290000,1322000,46714
19-Sep-16,1299000,1310000,1261000,1288000,63242
13-Sep-16,1213000,1272000,1208000,1257000,59587
12-Sep-16,1208000,1211000,1171000,1178000,57197
09-Sep-16,1311000,1317000,1270000,1272000,37778
08-Sep-16,1323000,1336000,1312000,1336000,35569
07-Sep-16,1337000,1347000,1321000,1321000,23412
06-Sep-16,1303000,1347000,1296000,1347000,25487
05-Sep-16,1290000,1321000,1290000,1307000,28552
02-Sep-16,1300000,1325000,1297000,1309000,16488
01-Sep-16,1301000,1305000,1288000,1293000,33991
31-Aug-16,1350000,1355000,1321000,1324000,125276
30-Aug-16,1344000,1371000,1334000,1356000,32708
29-Aug-16,1320000,1344000,1310000,1339000,31601
26-Aug-16,1322000,1344000,1322000,1324000,31215
25-Aug-16,1364000,1364000,1339000,1343000,49785
24-Aug-16,1398000,1398000,1354000,1365000,48408
23-Aug-16,1394000,1400000,1375000,1400000,55188
22-Aug-16,1386000,1500000,1385000,1395000,60135
19-Aug-16,1355000,1386000,1342000,1385000,45887
18-Aug-16,1305000,1360000,1304000,1354000,31871
17-Aug-16,1309000,1315000,1293000,1304000,19751
16-Aug-16,1299000,1314000,1294000,1309000,42131
12-Aug-16,1289000,1299000,1283000,1292000,33865
11-Aug-16,1275000,1281000,1269000,1281000,25112
10-Aug-16,1299000,1300000,1270000,1275000,38624
09-Aug-16,1292000,1292000,1278000,1287000,38495
08-Aug-16,1297000,1305000,1278000,1292000,33213
05-Aug-16,1273000,1298000,1273000,1297000,23955
04-Aug-16,1255000,1279000,1253000,1273000,22252
03-Aug-16,1267000,1274000,1252000,1252000,24584
02-Aug-16,1285000,1287000,1253000,1267000,31824
01-Aug-16,1277000,1301000,1277000,1285000,36976
29-Jul-16,1250000,1269000,1234000,1265000,74779
28-Jul-16,1230000,1236000,1210000,1232000,32228
27-Jul-16,1208000,1224000,1208000,1221000,35178
26-Jul-16,1223000,1232000,1215000,1232000,35946
25-Jul-16,1221000,1235000,1203000,1211000,28090
22-Jul-16,1221000,1238000,1210000,1225000,17644
21-Jul-16,1244000,1251000,1238000,1240000,31326
20-Jul-16,1226000,1242000,1223000,1242000,31005
19-Jul-16,1225000,1250000,1224000,1226000,55634
18-Jul-16,1230000,1233000,1216000,1233000,25040
15-Jul-16,1211000,1228000,1203000,1227000,31689
14-Jul-16,1198000,1216000,1190000,1213000,39562
13-Jul-16,1200000,1209000,1181000,1196000,36390
12-Jul-16,1218000,1219000,1183000,1190000,41977
11-Jul-16,1214000,1220000,1212000,1216000,53669
08-Jul-16,1199000,1204000,1180000,1198000,82128
07-Jul-16,1192000,1208000,1181000,1199000,41214
06-Jul-16,1224000,1224000,1179000,1180000,56158
05-Jul-16,1228000,1235000,1216000,1228000,24563
